symbol,name,reason
نان,صنايع غذايي رضوي,no_signals_or_low_gain
تپكو,توليدتجهيزات‌سنگين‌هپكو,no_signals_or_low_gain
خوشه,ص.س.صندوق در صندوق خوشه گندم,blacklist_name
سفارس,سيمان فارس و خوزستان,no_signals_or_low_gain
سغدير2,توسعه سرمايه و صنعت غدير,no_signals_or_low_gain
خبرنا,توليدي برنا باطري,no_signals_or_low_gain
وسكاب,س.ص.بازنشستگي كاركنان بانكها,no_signals_or_low_gain
تيپيكو,سرمايه گذاري دارويي تامين,no_signals_or_low_gain
ضهرم1023,اختيارخ اهرم-22000-1404/10/24,no_signals_or_low_gain
دفارا,داروسازي‌ فارابي‌,no_signals_or_low_gain
زعف0510پ20,زعفران0510نگين وحدت جام(پ),no_signals_or_low_gain
پكرمان,گروه‌ صنعتي‌ بارز,no_signals_or_low_gain
فسبزوار,پارس فولاد سبزوار,no_signals_or_low_gain
جم,پتروشيمي جم,no_signals_or_low_gain
فسازان,غلتك سازان سپاهان,no_signals_or_low_gain
وسپهح,ح . سرمايه‌گذاري‌ سپه‌,no_signals_or_low_gain
فپنتا,سپنتا,no_signals_or_low_gain
ثشرق,سرمايه گذاري مسكن شمال شرق,no_signals_or_low_gain
قثابت,قند ثابت‌ خراسان‌,no_signals_or_low_gain
دكوثر,داروسازي‌ كوثر,no_signals_or_low_gain
فجر,فولاد اميركبيركاشان,no_signals_or_low_gain
آريان,سرمايه گذاري پارس آريان,no_signals_or_low_gain
درازك,دارويي‌ رازك‌,no_signals_or_low_gain
سرود,سيمان‌شاهرود,no_signals_or_low_gain
ضذوب1018,اختيارخ ذوب-380-1404/10/17,no_signals_or_low_gain
وتوشه,سرمايه‌ گذاري‌ پارس‌ توشه‌,no_signals_or_low_gain
